I,J,Latitude,Longitude,Altitude
0,0,30.7281,-7.80188,1821.1
0,1,30.7587,-7.6163,2128.4
0,2,30.789,-7.43054,1868.3
0,3,30.819,-7.24466,1507.9
0,4,30.8485,-7.05859,1345.0
0,5,30.8777,-6.87238,1241.7
0,6,30.9066,-6.686,1234.4
0,7,30.935,-6.49945,1308.2
0,8,30.9631,-6.31277,1501.3
0,9,30.9908,-6.12595,1649.2
0,10,31.0182,-5.93893,1596.2
0,11,31.0452,-5.7518,1635.9
0,12,31.0718,-5.56451,1669.0
0,13,31.098,-5.37711,1369.3
0,14,31.1238,-5.18951,1044.2
0,15,31.1493,-5.00183,916.2
0,16,31.1745,-4.81396,863.7
0,17,31.1992,-4.62598,839.4
0,18,31.2235,-4.43787,796.3
0,19,31.2475,-4.2496,754.1
0,20,31.2711,-4.06122,761.0
0,21,31.2944,-3.87271,850.6
0,22,31.3172,-3.68405,980.9
0,23,31.3397,-3.4953,1019.5
0,24,31.3618,-3.3064,952.2
0,25,31.3835,-3.1174,841.5
0,26,31.4049,-2.92828,754.8
0,27,31.4258,-2.73901,722.8
0,28,31.4464,-2.54965,708.5
0,29,31.4666,-2.3602,734.4
0,30,31.4864,-2.17059,808.7
0,31,31.5058,-1.9809,794.9
0,32,31.5249,-1.79111,741.7
0,33,31.5436,-1.6012,761.4
0,34,31.5619,-1.41119,770.3
0,35,31.5798,-1.22107,793.0
0,36,31.5973,-1.03088,829.1
0,37,31.6144,-0.840576,820.4
0,38,31.6312,-0.650177,786.8
0,39,31.6476,-0.459686,756.2
0,40,31.6635,-0.269104,756.9
0,41,31.6791,-0.0784302,759.1
0,42,31.6944,0.112335,744.3
0,43,31.7092,0.303192,729.0
0,44,31.7236,0.49411,713.2
0,45,31.7377,0.68512,697.3
0,46,31.7513,0.87619,669.1
0,47,31.7646,1.06735,621.2
0,48,31.7775,1.25858,578.4
0,49,31.79,1.44989,560.0
0,50,31.8021,1.64127,556.9
0,51,31.8139,1.8327,561.1
0,52,31.8252,2.0242,565.1
0,53,31.8362,2.21576,559.8
0,54,31.8467,2.40738,557.3
0,55,31.8569,2.59906,561.1
0,56,31.8667,2.7908,570.8
0,57,31.8761,2.9826,572.9
0,58,31.8851,3.17447,555.8
0,59,31.8937,3.36636,540.0
0,60,31.9019,3.55829,499.4
0,61,31.9098,3.75027,435.1
0,62,31.9172,3.94232,385.3
0,63,31.9243,4.1344,341.1
0,64,31.9309,4.32651,300.9
0,65,31.9372,4.51865,270.6
0,66,31.9431,4.71085,251.2
0,67,31.9486,4.90305,237.5
0,68,31.9537,5.09531,208.8
0,69,31.9584,5.28757,168.8
0,70,31.9627,5.47989,150.9
0,71,31.9666,5.67221,157.3
0,72,31.9701,5.86453,162.2
0,73,31.9733,6.05692,157.5
0,74,31.976,6.24927,148.3
0,75,31.9784,6.44168,141.7
0,76,31.9803,6.63409,140.3
0,77,31.9819,6.82651,139.9
0,78,31.9831,7.01892,138.5
0,79,31.9838,7.21136,137.6
0,80,31.9842,7.40378,139.2
0,81,31.9842,7.59622,143.4
0,82,31.9838,7.78864,147.7
0,83,31.9831,7.98108,152.1
0,84,31.9819,8.17349,159.5
0,85,31.9803,8.36591,171.2
0,86,31.9784,8.55832,184.3
0,87,31.976,8.75073,198.3
0,88,31.9733,8.94308,214.3
0,89,31.9701,9.13547,231.9
0,90,31.9666,9.32779,247.0
0,91,31.9627,9.52011,260.8
0,92,31.9584,9.71243,287.0
0,93,31.9537,9.90469,322.4
0,94,31.9486,10.097,361.1
0,95,31.9431,10.2892,415.6
0,96,31.9372,10.4814,451.0
0,97,31.9309,10.6735,446.2
0,98,31.9243,10.8656,428.9
0,99,31.9172,11.0577,401.3
0,100,31.9098,11.2497,388.9
1,0,30.8876,-7.83783,2213.9
1,1,30.9183,-7.65186,2250.5
1,2,30.9487,-7.4657,1844.8
1,3,30.9787,-7.27939,1460.3
1,4,31.0084,-7.0929,1309.0
1,5,31.0377,-6.90625,1231.3
1,6,31.0666,-6.71945,1247.7
1,7,31.0951,-6.5325,1307.4
1,8,31.1233,-6.3454,1411.8
1,9,31.1511,-6.15814,1578.2
1,10,31.1785,-5.9707,1733.0
1,11,31.2056,-5.78314,1827.8
1,12,31.2323,-5.59543,1766.0
1,13,31.2586,-5.40759,1469.3
1,14,31.2845,-5.21957,1187.1
1,15,31.3101,-5.03143,1103.0
1,16,31.3353,-4.84317,1052.2
1,17,31.3601,-4.65475,956.0
1,18,31.3845,-4.46619,842.4
1,19,31.4086,-4.2775,792.2
1,20,31.4323,-4.08868,851.0
1,21,31.4556,-3.89975,955.1
1,22,31.4785,-3.71066,1052.0
1,23,31.501,-3.52145,1074.0
1,24,31.5232,-3.33212,991.8
1,25,31.545,-3.14267,882.2
1,26,31.5664,-2.95312,802.2
1,27,31.5874,-2.76343,756.8
1,28,31.608,-2.57361,768.2
1,29,31.6283,-2.3837,798.7
1,30,31.6482,-2.19366,849.8
1,31,31.6677,-2.00354,871.8
1,32,31.6868,-1.81329,807.4
1,33,31.7055,-1.62292,759.4
1,34,31.7239,-1.4325,757.3
1,35,31.7418,-1.24191,792.7
1,36,31.7594,-1.05127,840.1
1,37,31.7766,-0.860504,848.1
1,38,31.7934,-0.669678,815.5
1,39,31.8098,-0.478729,782.0
1,40,31.8258,-0.287689,787.6
1,41,31.8415,-0.0965576,790.4
1,42,31.8567,0.094635,774.0
1,43,31.8716,0.28595,758.5
1,44,31.8861,0.477325,737.6
1,45,31.9002,0.668762,715.0
1,46,31.9139,0.860291,686.3
1,47,31.9272,1.05191,648.8
1,48,31.9402,1.24359,618.2
1,49,31.9527,1.43536,600.4
1,50,31.9649,1.6272,592.7
1,51,31.9766,1.81909,593.9
1,52,31.988,2.01105,592.0
1,53,31.999,2.20306,577.6
1,54,32.0096,2.39514,562.3
1,55,32.0198,2.58728,551.8
1,56,32.0296,2.77948,554.1
1,57,32.039,2.97174,583.7
1,58,32.0481,3.16406,599.4
1,59,32.0567,3.35641,574.9
1,60,32.0649,3.54883,527.9
1,61,32.0728,3.74127,462.7
1,62,32.0803,3.93375,403.3
1,63,32.0874,4.12628,355.5
1,64,32.094,4.31888,314.0
1,65,32.1003,4.51147,283.5
1,66,32.1062,4.70413,260.4
1,67,32.1117,4.89679,239.2
1,68,32.1168,5.08951,200.9
1,69,32.1216,5.28226,155.2
1,70,32.1259,5.47501,138.5
1,71,32.1298,5.66779,145.4
1,72,32.1334,5.8606,150.4
1,73,32.1365,6.05344,148.3
1,74,32.1393,6.24628,143.3
1,75,32.1416,6.43912,139.5
1,76,32.1436,6.63199,137.6
1,77,32.1452,6.82489,134.9
1,78,32.1463,7.01776,131.3
1,79,32.1471,7.21066,129.4
1,80,32.1475,7.40356,132.1
1,81,32.1475,7.59644,136.9
1,82,32.1471,7.78934,140.8
1,83,32.1463,7.98224,145.9
1,84,32.1452,8.17511,154.3
1,85,32.1436,8.36801,165.8
1,86,32.1416,8.56088,177.8
1,87,32.1393,8.75372,194.5
1,88,32.1365,8.94656,217.6
1,89,32.1334,9.1394,240.8
1,90,32.1298,9.33221,261.8
1,91,32.1259,9.52499,278.2
1,92,32.1216,9.71774,292.4
1,93,32.1168,9.91049,322.6
1,94,32.1117,10.1032,390.5
1,95,32.1062,10.2959,450.0
1,96,32.1003,10.4885,412.4
1,97,32.094,10.6811,312.5
1,98,32.0874,10.8737,245.2
1,99,32.0803,11.0663,208.8
1,100,32.0728,11.2587,187.8
2,0,31.0472,-7.87396,2473.3
2,1,31.078,-7.68756,2471.8
2,2,31.1085,-7.50101,2073.0
2,3,31.1386,-7.31427,1791.2
2,4,31.1683,-7.12735,1732.9
2,5,31.1977,-6.94031,1727.3
2,6,31.2267,-6.75308,1746.0
2,7,31.2553,-6.5657,1788.2
2,8,31.2836,-6.37817,1781.9
2,9,31.3115,-6.19046,1712.4
2,10,31.339,-6.00262,1715.1
2,11,31.3661,-5.81464,1738.8
2,12,31.3929,-5.6265,1609.5
2,13,31.4193,-5.4382,1356.2
2,14,31.4453,-5.24979,1148.3
2,15,31.4709,-5.06122,1078.3
2,16,31.4962,-4.8725,1054.7
2,17,31.5211,-4.68365,979.6
2,18,31.5456,-4.49466,898.2
2,19,31.5697,-4.30554,893.6
2,20,31.5935,-4.11627,943.8
2,21,31.6168,-3.92688,1019.3
2,22,31.6398,-3.73737,1097.0
2,23,31.6624,-3.54773,1103.6
2,24,31.6847,-3.35797,1023.3
2,25,31.7065,-3.16809,916.5
2,26,31.728,-2.97806,816.4
2,27,31.7491,-2.78793,754.7
2,28,31.7698,-2.59769,780.2
2,29,31.7901,-2.40732,835.7
2,30,31.81,-2.21686,877.2
2,31,31.8296,-2.02628,929.9
2,32,31.8488,-1.83557,942.1
2,33,31.8676,-1.64478,894.2
2,34,31.8859,-1.45389,841.1
2,35,31.904,-1.26288,813.1
2,36,31.9216,-1.07178,827.2
2,37,31.9388,-0.880554,843.1
2,38,31.9557,-0.68927,813.3
2,39,31.9722,-0.497864,796.9
2,40,31.9883,-0.306366,823.9
2,41,32.0039,-0.114807,827.2
2,42,32.0192,0.0768738,799.4
2,43,32.0342,0.268616,771.0
2,44,32.0487,0.460449,748.8
2,45,32.0628,0.652344,735.7
2,46,32.0766,0.84433,718.6
2,47,32.0899,1.03641,693.6
2,48,32.1029,1.22855,669.8
2,49,32.1155,1.42078,650.1
2,50,32.1277,1.61307,639.1
